CiteKey,Lat,Lon,Class,FishFamily,FishSp,SppGrouped,HighlyMigratory,HabitatZone,Lifestage,HabitatType,HabitatSpecies,HabitatFunction,MicroHabitat,ObsType,DepthZone,AreaOfStudy,FisheryImpact,FishStock,FishStockReason,NotesFishery,,Notes
conway1997vertical,54.2,-4,actinopterygii,pleuronectidae,pleuronectes platessa,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,scombridae,scomber scombrus,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,scombridae,scomber scombrus,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,scombridae,scomber scombrus,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,clupeidae,sprattus sprattus,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,clupeidae,sprattus sprattus,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,clupeidae,sprattus sprattus,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,clupeidae,sprattus sprattus,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,gadidae,trisopterus spp,y,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,gadidae,trisopterus spp,y,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,gadidae,trisopterus spp,y,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,52,-140,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,eggs,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,eggs for around 14 days; february to march
npfmc2016fishery,55,-152,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,eggs,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,eggs for around 14 days; february to march
npfmc2016fishery,53,-163,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,eggs,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,eggs for around 14 days; february to march
npfmc2016fishery,60,-170,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,eggs,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,eggs for around 14 days; february to march
npfmc2016fishery,52,-140,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,larvae,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,larval phase for 60 days; march to july
npfmc2016fishery,55,-152,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,larvae,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,larval phase for 60 days; march to july
npfmc2016fishery,53,-163,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,larvae,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,larval phase for 60 days; march to july
npfmc2016fishery,60,-170,actinopterygii,gadidae,theragra chalcogramma,,,epipelagic,larvae,,,physiochem,occurs on outer continental shelf over 100m in depth,catch-survey,<200,>100ha,,,,,,larval phase for 60 days; march to july
npfmc2016fishery,52,-140,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,juvenile,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius,catch-survey,<200,>100ha,,,,,,juenile phase 0.4 to 4.5 years; no known substrate preference
npfmc2016fishery,55,-152,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,juvenile,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius,catch-survey,<200,>100ha,,,,,,juenile phase 0.4 to 4.5 years; no known substrate preference
npfmc2016fishery,53,-163,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,juvenile,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius,catch-survey,<200,>100ha,,,,,,juenile phase 0.4 to 4.5 years; no known substrate preference
npfmc2016fishery,60,-170,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,juvenile,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius,catch-survey,<200,>100ha,,,,,,juenile phase 0.4 to 4.5 years; no known substrate preference
npfmc2016fishery,52,-140,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,adult,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius; found in waters upto 500m deep,catch-survey,<1000,>100ha,,,,,,4.5 to 16 years; increasingly demersal with age; no known substrate preference
